code,obs_train,alpha_daily_train,alpha_annual_train,alpha_t_train,alpha_pvalue_train,beta_train,beta_pvalue_train,r2_train,stock_total_return_train,market_total_return_train,alpha_rank_train,obs_test,alpha_daily_test,alpha_annual_test,alpha_t_test,alpha_pvalue_test,beta_test,beta_pvalue_test,r2_test,stock_total_return_test,market_total_return_test,alpha_rank_test,is_train_top20,is_future_top20,rank_change,alpha_change
sh.601633,729,0.002606559206957992,0.656852920153414,2.3294785131349993,0.020106735373645632,1.1956080228172439,1.312570547262922e-38,0.20739202087198283,7.65240641711231,0.6636858295995842,1,726,-0.00017489147585630902,-0.04407265191578987,-0.2118757144757191,0.8322636279694784,1.2398907076237538,8.501775011330093e-59,0.30322354862803624,-0.45756077461887046,-0.20351951946627433,40,True,False,39,-0.7009255720692039
sh.600745,729,0.0022644862442452243,0.5706505335497966,1.8341823381757811,0.06703548575651923,1.1513550539213744,1.4644162582436652e-30,0.16619004094328815,5.177735308170091,0.6636858295995842,2,726,-0.0008462435978539517,-0.21325338665919583,-0.9394260600216688,0.34782534055304826,1.4404755614600453,4.791473412460182e-65,0.3302977107698434,-0.7000773395204951,-0.20351951946627433,48,True,False,46,-0.7839039202089924
sh.600111,729,0.0021104775372968168,0.5318403393987978,1.7769498181707424,0.07599455746871964,0.9605881887340807,7.209974828781694e-24,0.13036841376296127,4.270425776754905,0.6636858295995842,3,726,-0.0004683960522602746,-0.1180358051695892,-0.6880703233111665,0.4916288858877089,1.2437089244931165,3.441488486463434e-80,0.3916553001428613,-0.5366812227074238,-0.20351951946627433,47,True,False,44,-0.649876144568387
sh.601012,729,0.0018716535599103549,0.4716566970974094,1.692055116018371,0.09106397330828885,1.1523574281533637,5.660514054929113e-37,0.19918565926981413,3.962579159470353,0.6636858295995842,4,726,-0.0016274994367003054,-0.41012985804847696,-1.9371094069325787,0.05312064527906914,1.3026195624494306,6.811395474257982e-62,0.3167711250802512,-0.8177494199535964,-0.20351951946627433,50,True,False,46,-0.8817865551458863
sh.601919,729,0.0018166825051409122,0.45780399129550986,1.5232669757637876,0.12812677367595718,1.1766766818852858,1.113321619460461e-33,0.1823993343844028,3.5808823529411686,0.6636858295995842,5,726,0.00018732038750750193,0.04720473765189049,0.2625514133288383,0.7929710423397874,0.8714750376848815,1.0808090069554271e-41,0.22346405258603763,-0.17067950775816176,-0.20351951946627433,30,True,False,25,-0.4105992536436194
sh.600703,729,0.001236997203108045,0.31172329518322733,1.0734684683232865,0.28341715317798805,1.4018662962092006,4.5891145531914833e-48,0.2532734489695615,2.374663072776277,0.6636858295995842,6,726,-0.0009755023481519987,-0.24582659173430368,-1.2898232502248619,0.19752387835550045,1.1239090629731912,8.887199156882193e-58,0.298705934407385,-0.6759850905218322,-0.20351951946627433,49,True,False,43,-0.557549886917531
sh.600089,729,0.0012161085466652307,0.3064593537596381,1.3041493677966567,0.19259540681216047,0.8773421837514341,4.953344691721191e-31,0.16865623090891668,2.0592485549133053,0.6636858295995842,7,726,-0.0002078433448883146,-0.05237652291185528,-0.3061683757525989,0.7595644690887284,1.0014396821925304,4.325554252097314e-57,0.2956433921548607,-0.39820500708549766,-0.20351951946627433,41,True,False,34,-0.3588358766714934
sh.601899,729,0.0011852896541586844,0.2986929928479885,1.3081930533735635,0.1912212950136729,1.0321819915680401,4.821692573721271e-43,0.2292439652882805,2.2225913621262494,0.6636858295995842,8,726,0.0010677255413500376,0.26906683642020945,1.4834343928633207,0.13839421070001592,0.8985899473807716,2.9210850708068323e-43,0.23113601855372323,0.5587628865979353,-0.20351951946627433,5,True,True,-3,-0.02962615642777905
sh.600309,729,0.0011371695422710518,0.28656672465230504,1.5136833492941484,0.13054076980353024,1.1972847550397945,1.8485935525592763e-74,0.36792370525484486,2.5513361462728574,0.6636858295995842,9,726,-9.43714113029948e-05,-0.023781595648354692,-0.18270596088036356,0.8550798864606266,0.9417289803656498,6.197460403490935e-80,0.3906680700560734,-0.2935643564356434,-0.20351951946627433,36,True,False,27,-0.31034832030065973
sh.600893,729,0.0010823925176793067,0.2727629144551853,1.0691209769207124,0.28537000631756343,1.134864049959968,6.976818817048406e-42,0.22358372178787023,1.95162790697673,0.6636858295995842,10,726,-0.00016971765693810808,-0.04276884954840324,-0.2545455862774946,0.7991463717287205,0.8705892906701866,1.192750617047198e-46,0.24746252334567875,-0.346832650488497,-0.20351951946627433,39,True,False,29,-0.3155317640035885
sh.600519,729,0.0010779955783442458,0.27165488574274993,1.8934069411636238,0.05870060328429207,1.053305606487696,1.704115604294785e-93,0.4395869183024719,2.422484890981334,0.6636858295995842,11,726,-2.5056467327169338e-05,-0.006314229766446673,-0.05734601668445486,0.9542853873496295,1.0031901728503276,2.1706841335990134e-112,0.5041508594838537,-0.2565853658536582,-0.20351951946627433,35,True,False,24,-0.2779691155091966
sh.600196,729,0.0008496790898155896,0.21411913063352858,0.807170151077796,0.4198324530850226,0.9553640174969296,3.7111533226932993e-29,0.15879402822565747,1.27099767981439,0.6636858295995842,12,726,-0.00045785155747451285,-0.11537859248357724,-0.6269715805185043,0.5308755180913222,0.9322992805838964,6.389354601484695e-45,0.23917650241717292,-0.49223539027380525,-0.20351951946627433,46,True,False,34,-0.3294977231171058
sh.600406,729,0.0007725589866055461,0.1946848646245976,0.8292132134877235,0.4072559399342426,0.8790049694400057,3.517293866163532e-31,0.16943371131594043,1.2091611479028739,0.6636858295995842,13,726,-0.00023897789006112867,-0.060222428295404425,-0.33238443519627836,0.7396952000767264,0.742295872707778,2.8784734982274647e-31,0.170529176400399,-0.36997252060954167,-0.20351951946627433,43,True,False,30,-0.254907292920002
sh.600031,729,0.0007580396339559747,0.19102598775690563,1.0291373707308917,0.30375739318769324,1.3145224205652208,1.3662735695690675e-88,0.4219370907510339,1.8322981366459716,0.6636858295995842,14,726,5.969552447356128e-05,0.015043272167337442,0.1036119330122623,0.9175060108572923,1.1642617001220916,2.117522012277388e-93,0.44059589982559566,-0.27719298245614055,-0.20351951946627433,33,True,False,19,-0.17598271558956818
sh.600010,729,0.0007337588508022668,0.18490723040217122,0.7515471553052454,0.4525666519070546,0.634818449491813,2.470323921643169e-16,0.08833148544514102,0.8979591836734657,0.6636858295995842,15,726,-0.00013542664690266925,-0.03412751501947265,-0.21367659503862477,0.8308594226165525,0.9232608742898639,6.320046796836211e-56,0.2904232940443976,-0.33333333333333615,-0.20351951946627433,38,True,False,23,-0.21903474542164386
sh.600690,729,0.00046980217801153874,0.11839014885890776,0.6843005454574868,0.49400347630669783,1.1632970807987637,7.126271833947853e-82,0.3968597429616282,1.2091648189209088,0.6636858295995842,16,726,0.000323884807478028,0.08161897148446305,0.5889293347318132,0.5560923761469905,0.9286410873478566,6.3303639065309014e-71,0.35481546217187787,-0.047507527601205024,-0.20351951946627433,24,True,False,8,-0.03677117737444471
sh.600036,729,0.0003777676866572356,0.09519745703762338,0.7159455771294903,0.4742548459478745,0.9335584034001568,1.9191176477494764e-87,0.4177276894389371,0.9824989824989796,0.6636858295995842,17,726,0.00011843175642844533,0.029844802619968223,0.23057945438399766,0.8177066688226856,1.012252508699009,5.66498490580812e-90,0.42828888819145794,-0.1931841510983392,-0.20351951946627433,32,True,False,15,-0.06535265441765516
sh.600900,729,0.0003736416152108095,0.094157687033124,0.8597009292704249,0.39023731618892565,0.2355770653261801,5.9660344292157905e-12,0.0630847472475855,0.4721141374837827,0.6636858295995842,18,726,0.0004468863890630176,0.11261537004388043,1.053549953220159,0.29244048488547697,0.24358285857855955,2.400050155328931e-11,0.05980078896196506,0.30176211453744584,-0.20351951946627433,20,True,True,2,0.01845768301075644
sh.600887,729,0.000259391965401302,0.06536677528112811,0.4298326814067467,0.6674447277960597,1.0236985388342763,5.133058553421497e-82,0.3974027519229656,0.8443060498220676,0.6636858295995842,19,726,-9.74332011541167e-05,-0.02455316669083741,-0.22464394630411266,0.8223196586003114,0.9040595958115477,8.874875268759565e-98,0.45593217229419625,-0.27206946454413683,-0.20351951946627433,37,True,False,18,-0.08991994197196551
sh.601088,729,5.150485771896488e-05,0.01297922414517915,0.0740543456089894,0.9409875130652965,0.5774796251501548,5.521552917411437e-25,0.1364407013563652,0.26730444569499445,0.6636858295995842,20,726,0.0011582316587766006,0.29187437801170335,1.6667937239728254,0.09598792824517513,0.4087753958887994,8.076606869866638e-12,0.06256900253398079,0.9307282415630567,-0.20351951946627433,3,True,True,-17,0.2788951538665242
