,value
n_days,243
n_months,12
cumulative_return,0.29623730386194036
annualized_return,0.3087539825582264
max_drawdown,-0.1627171902278084
sharpe,1.3451867598206386
daily_win_rate,0.5720164609053497
benchmark_cumulative,0.17663134379993406
benchmark_annualized,0.18374109463903987
excess_cumulative,0.1196059600620063
monthly_win_rate_vs_bench,0.5
monthly_ir_vs_bench,0.42220046581449033
total_turnover,14.2
total_cost,0.004259999999999999
target_return_ok,False
target_dd_ok,False
target_annualized_range,12%-18%
target_max_drawdown,-0.1
