signal_date,fwd_date,strategy_ret,benchmark_ret,turnover,cost,n_holdings,risk_control_turnover,risk_control_cost
2024-12-31,2025-01-27,-0.04266897513761858,-0.029944947419266565,2.2,0.00066,5,1.2,0.00035999999999999997
2025-01-27,2025-02-28,0.052910851863435804,0.019116313039480026,0.8,0.00023999999999999998,5,0.0,0.0
2025-02-28,2025-03-31,-0.009729615389237778,-0.000705158267041428,1.4,0.00041999999999999996,5,0.6,0.00017999999999999998
2025-03-31,2025-04-30,-0.014235498642306554,-0.030029823227687547,1.2,0.00035999999999999997,5,0.0,0.0
2025-04-30,2025-05-30,0.011981555325589088,0.01847513526136213,1.5999999999999999,0.0004799999999999999,5,0.0,0.0
2025-05-30,2025-06-30,0.015547181479556693,0.02495859430170433,1.5999999999999999,0.0004799999999999999,5,0.0,0.0
2025-06-30,2025-07-31,0.024361674269512745,0.035444435047049305,1.7999999999999998,0.0005399999999999999,5,0.6,0.00017999999999999998
2025-07-31,2025-08-29,0.10039852639658409,0.10333909347924863,1.2,0.00035999999999999997,5,0.0,0.0
2025-08-29,2025-09-30,0.029953959191910906,0.03200847472571988,2.8,0.0008399999999999998,5,1.2,0.00035999999999999997
2025-09-30,2025-10-31,-0.016336862801254903,-5.581062399562242e-06,1.4,0.00041999999999999996,5,0.6,0.00017999999999999998
2025-10-31,2025-11-28,-0.021728576354845264,-0.024566723977385796,2.0,0.0006,5,1.2,0.00035999999999999997
2025-11-28,2025-12-31,0.008874081488881469,0.022815467363410002,1.5999999999999999,0.0004799999999999999,5,0.0,0.0
